plate	P2609-24
file	P0059_Horned_Dragon_Body_Rock_WP4_STL_2_202609160848_06h37m_49ml_uvtools-solidify.goo
screened	2026-09-16
level	fix
islands_fix	1132px2@74.49mm
islands_watch	680px2@26.79mm;648px2@67.38mm;588px2@24.48mm;399px2@49.32mm;395px2@49.17mm;389px2@56.28mm
cups_flagged	
cups_largest	
cups_above_raft_mm3	0.0
sha256	edabb73dc5f2ea3ce03acc8fa555e4d014d686c495217669f382c76d9cd2de5c
resolved	2026-09-17
resolution	printed and cleaned successfully (Logan, 2026-09-17); the 1132px2 island at 74.49mm produced no reported defect
