code,name,base_mm,size,pack,release,file_name,variants
P0001,"Ezren, Iconic Wizard",25,Medium,WP1,April 2026,P0001_Ezren_Iconic_Wizard_WP1,
P0002,"Kyra, Iconic Cleric",25,Medium,WP1,April 2026,P0002_Kyra_Iconic_Cleric_WP1,
P0003,"Merisiel, Iconic Rogue",25,Medium,WP1,April 2026,P0003_Merisiel_Iconic_Rogue_WP1,
P0004,"Valeros, Iconic Fighter",25,Medium,WP1,April 2026,P0004_Valeros_Iconic_Fighter_WP1,
P0005,"Lem, Iconic Bard",25,Small,WP1,April 2026,P0005_Lem_Iconic_Bard_WP1,
P0006,"Lini, Iconic Druid (with Droogami)",25,Small,WP1,April 2026,P0006_Lini_Iconic_Druid_with_Droogami_WP1,
P0007,"Harsk, Iconic Ranger",25,Medium,WP1,April 2026,P0007_Harsk_Iconic_Ranger_WP1,
P0008,"Feiya, Iconic Witch (with Daji)",25,Medium,WP1,April 2026,P0008_Feiya_Iconic_Witch_with_Daji_WP1,
P0009,Mirage Dragon,75,Huge,WP1,April 2026,P0009_Mirage_Dragon_WP1,
P0010,Diabolic Dragon,75,Huge,WP1,April 2026,P0010_Diabolic_Dragon_WP1,
P0011,Empyreal Dragon,50,Large,WP1,April 2026,P0011_Empyreal_Dragon_WP1,
P0012,Boggard Warrior,25,Medium,WP1,April 2026,P0012_Boggard_Warrior_WP1,
P0013,Boggard Swampseer,25,Medium,WP1,April 2026,P0013_Boggard_Swampseer_WP1,
P0014,Boggard Scout,25,Medium,WP1,April 2026,P0014_Boggard_Scout_WP1,
P0015,Rain in Cloudy Day,25,Small,WP1,April 2026,P0015_Rain_in_Cloudy_Day_WP1,
P0016,Giant Rat,25,Small,WP1,April 2026,P0016_Giant_Rat_WP1,
P0017,Giant Spider,25,Medium,WP1,April 2026,P0017_Giant_Spider_WP1,
P0018,Skeleton Guard,25,Medium,WP1,April 2026,P0018_Skeleton_Guard_WP1,
P0019,Kobold Warrior,25,Small,WP1,April 2026,P0019_Kobold_Warrior_WP1,
P0020,Kobold Trapmaster,25,Small,WP1,April 2026,P0020_Kobold_Trapmaster_WP1,
P0021,Kobold Scout,25,Small,WP1,April 2026,P0021_Kobold_Scout_WP1,
P0022,Cinder Rat,25,Small,WP1,April 2026,P0022_Cinder_Rat_WP1,
P0023,Xulgath Warrior,25,Medium,WP1,April 2026,P0023_Xulgath_Warrior_WP1,
P0024,"Zolgran, Kobold Boss",25,Small,WP1,April 2026,P0024_Zolgran_Kobold_Boss_WP1,
P0025,Horned Dragon,25,Medium,WP1,April 2026,P0025_Horned_Dragon_WP1,
P0026,Andoran Golden Legionnaire,25,Medium,S1P1,April 2026,P0026_Andoran Golden Legionnaire_S1P1,
P0027,Andoran Steel Falcon,25,Medium,S1P1,April 2026,P0027_Andoran Steel Falcon_S1P1,
P0028,Hellknight Signifer,25,Medium,S1P1,April 2026,P0028_Hellknight Signifer_S1P1,
P0029,Ort (Druge Devil),25,Medium,S1P1,April 2026,P0029_Ort Druge Devil_S1P1,3
P0030,Vordine (Infantry Devil),25,Medium,S1P1,April 2026,P0030_Vordine Infantry Devil_S1P1,3
P0031,Sarglagon (Drowning Devil),50,Large,S1P1,April 2026,P0031_Sarglagon Drowning Devil_S1P1,
P0032,Arboreal Warden,50,Large,WP2,May 2026,P0032_Arboreal_Warden_WP2,
P0033,Andoran Soldier,25,Medium,S1P2,May 2026,P0033_Andoran_Soldier_S1P2,3
P0034,Chelaxian Soldier,25,Medium,S1P2,May 2026,P0034_Cheliax_Soldier_S1P2,3
P0035,Gylou (Handmaiden Devil),25,Medium,S1P2,May 2026,P0035_Gylou_S1P2,
P0036,Phistophilus (Contract Devil),25,Medium,S1P2,May 2026,P0036_Phistophilus_S1P2,
P0037,Talmandor,50,Large,S1P2,May 2026,P0037_Talmandor_S1P2,
P0038,Balisse Angel,25,Medium,WP2,May 2026,P0038_Balisse_Angel_WP2,
