# Base/size reference captured from the Paizo Printables Google Sheet
# https://docs.google.com/spreadsheets/d/136R7lDaQ5BK42xDqrfJR8dN6XYIWq2PyM0_lwJQH2jU/edit?gid=0
# Joined to model directories on the P-number. Re-capture when a new release lands.
code	name	base_mm	size	pack	mmf
P0001	Ezren, Iconic Wizard	25	Medium	WP1	https://www.myminifactory.com/object/3d-print-ezren-iconic-wizard-779497
P0002	Kyra, Iconic Cleric	25	Medium	WP1	https://www.myminifactory.com/object/3d-print-kyra-iconic-cleric-779502
P0003	Merisiel, Iconic Rogue	25	Medium	WP1	https://www.myminifactory.com/object/3d-print-merisiel-iconic-rogue-779505
P0004	Valeros, Iconic Fighter	25	Medium	WP1	https://www.myminifactory.com/object/3d-print-valeros-iconic-fighter-779509
P0005	Lem, Iconic Bard	25	Small	WP1	https://www.myminifactory.com/object/3d-print-lem-iconic-bard-779516
P0006	Lini, Iconic Druid (with Droogami)	25	Small	WP1	https://www.myminifactory.com/object/3d-print-lini-iconic-druid-with-droogami-779517
P0007	Harsk, Iconic Ranger	25	Medium	WP1	https://www.myminifactory.com/object/3d-print-harsk-iconic-ranger-779518
P0008	Feiya, Iconic Witch (with Daji)	25	Medium	WP1	https://www.myminifactory.com/object/3d-print-feiya-iconic-witch-with-daji-779519
P0009	Mirage Dragon	75	Huge	WP1	https://www.myminifactory.com/object/3d-print-mirage-dragon-779520
P0010	Diabolic Dragon	75	Huge	WP1	https://www.myminifactory.com/object/3d-print-diabolic-dragon-779521
P0011	Empyreal Dragon	50	Large	WP1	https://www.myminifactory.com/object/3d-print-empyreal-dragon-779522
P0012	Boggard Warrior	25	Medium	WP1	https://www.myminifactory.com/object/3d-print-boggard-warrior-779523
P0013	Boggard Swampseer	25	Medium	WP1	https://www.myminifactory.com/object/3d-print-boggard-swampseer-779524
P0014	Boggard Scout	25	Medium	WP1	https://www.myminifactory.com/object/3d-print-boggard-scout-779525
P0015	Rain in Cloudy Day	25	Small	WP1	https://www.myminifactory.com/object/3d-print-rain-in-cloudy-day-779527
P0016	Giant Rat	25	Small	WP1	https://www.myminifactory.com/object/3d-print-giant-rat-779528
P0017	Giant Spider	25	Medium	WP1	https://www.myminifactory.com/object/3d-print-giant-spider-779529
P0018	Skeleton Guard	25	Medium	WP1	https://www.myminifactory.com/object/3d-print-skeleton-guard-779530
P0019	Kobold Warrior	25	Small	WP1	https://www.myminifactory.com/object/3d-print-kobold-warrior-779531
P0020	Kobold Trapmaster	25	Small	WP1	https://www.myminifactory.com/object/3d-print-kobold-trapmaster-779532
P0021	Kobold Scout	25	Small	WP1	https://www.myminifactory.com/object/3d-print-kobold-scout-779533
P0022	Cinder Rat	25	Small	WP1	https://www.myminifactory.com/object/3d-print-cinder-rat-779535
P0023	Xulgath Warrior	25	Medium	WP1	https://www.myminifactory.com/object/3d-print-xulgath-warrior-779536
P0024	Zolgran, Kobold Boss	25	Small	WP1	https://www.myminifactory.com/object/3d-print-zolgran-kobold-boss-779537
P0025	Horned Dragon	25	Medium	WP1	https://www.myminifactory.com/object/3d-print-horned-dragon-779538
P0026	Andoran Golden Legionnaire	25	Medium	S1P1	https://www.myminifactory.com/object/3d-print-andoren-golden-legionnaire-779545
P0027	Andoran Steel Falcon	25	Medium	S1P1	https://www.myminifactory.com/object/3d-print-andoren-steel-falcon-779546
P0028	Hellknight Signifer	25	Medium	S1P1	https://www.myminifactory.com/object/3d-print-hellknight-signifer-779547
P0029	Ort (Druge Devil)	25	Medium	S1P1	https://www.myminifactory.com/object/3d-print-ort-druge-devil-779548
P0030	Vordine (Infantry Devil)	25	Medium	S1P1	https://www.myminifactory.com/object/3d-print-vordine-infantry-devil-779550
P0031	Sarglagon (Drowning Devil)	50	Large	S1P1	https://www.myminifactory.com/object/3d-print-sarglagon-drowning-devil-779847
P0032	Arboreal Warden	50	Large	WP2	https://www.myminifactory.com/object/3d-print-arboreal-warden-795094
P0033	Andoran Soldier	25	Medium	S1P2	https://www.myminifactory.com/object/3d-print-andoran-soldiers-795098
P0034	Chelaxian Soldier	25	Medium	S1P2	https://www.myminifactory.com/object/3d-print-chelaxian-soldiers-795099
P0035	Gylou (Handmaiden Devil)	25	Medium	S1P2	https://www.myminifactory.com/object/3d-print-gylou-handmaiden-devil-795102
P0036	Phistophilus (Contract Devil)	25	Medium	S1P2	https://www.myminifactory.com/object/3d-print-phistophilus-contract-devil-795103
